Ward Code,Ward,Local Authority,Employed (Economically active),Self-employed (Economically active),Working students (Economically active),Unemployed (Economically active),Retired (Economically inactive),Students (Economically inactive),Looking after family (Economically inactive),Sick/disabled (Economically inactive),Other (Economically inactive),total population aged 16-74
E05002702,Abbey,Cambridge,4326,584,392,287,510,500,357,346,188,7490
E05002703,Arbury,Cambridge,3740,551,298,302,619,717,268,233,167,6895
E05002704,Castle,Cambridge,2024,353,480,81,388,5190,110,58,65,8749
E05002705,Cherry Hinton,Cambridge,3873,527,211,210,738,333,232,216,98,6438
E05002706,Coleridge,Cambridge,3876,587,523,174,573,1040,201,170,103,7247
E05002707,East Chesterton,Cambridge,4172,563,288,265,632,459,324,271,114,7088
E05002708,King's Hedges,Cambridge,4084,487,283,333,596,375,298,304,168,6928
E05002709,Market,Cambridge,1485,306,469,75,213,3767,62,51,60,6488
E05002710,Newnham,Cambridge,1439,338,414,58,276,3936,145,27,53,6686
E05002711,Petersfield,Cambridge,3421,580,678,162,334,1464,132,153,105,7029
E05002712,Queen Edith's,Cambridge,3495,597,299,116,643,1233,226,88,104,6801
E05002713,Romsey,Cambridge,4454,556,686,170,379,920,188,174,104,7631
E05002714,Trumpington,Cambridge,3188,523,263,193,567,787,217,186,101,6025
E05002715,West Chesterton,Cambridge,3774,739,319,215,533,742,189,160,117,6788
E05002716,Bottisham,East Cambridgeshire,1514,399,74,68,439,81,107,89,31,2802
E05002717,Burwell,East Cambridgeshire,2599,548,132,102,632,129,158,83,51,4434
E05002718,Cheveley,East Cambridgeshire,1695,398,79,67,514,58,111,54,36,3012
E05002719,Downham Villages,East Cambridgeshire,1813,458,78,90,503,99,127,71,36,3275
E05002720,Dullingham Villages,East Cambridgeshire,925,261,32,45,204,67,77,23,19,1653
E05002721,Ely East,East Cambridgeshire,1670,374,61,81,435,164,89,61,43,2978
E05002722,Ely North,East Cambridgeshire,3232,416,115,159,620,136,278,109,86,5151
E05002723,Ely South,East Cambridgeshire,2058,283,81,89,344,99,145,55,33,3187
E05002724,Ely West,East Cambridgeshire,1810,300,75,92,540,114,121,95,54,3201
E05002725,Fordham Villages,East Cambridgeshire,1556,402,69,73,364,79,115,72,35,2765
E05002726,Haddenham,East Cambridgeshire,2467,584,101,87,648,138,163,78,35,4301
E05002727,Isleham,East Cambridgeshire,974,223,38,49,231,47,94,33,24,1713
E05002728,Littleport East,East Cambridgeshire,2133,419,76,154,555,94,169,124,74,3798
E05002729,Littleport West,East Cambridgeshire,1472,239,62,124,229,71,119,89,55,2460
E05002730,Soham North,East Cambridgeshire,2486,414,89,93,340,91,169,83,47,3812
E05002731,Soham South,East Cambridgeshire,2914,569,99,144,570,119,201,153,72,4841
E05002732,Stretham,East Cambridgeshire,1663,402,65,91,434,77,113,70,28,2943
E05002733,Sutton,East Cambridgeshire,1749,315,52,96,427,78,128,55,35,2935
E05002734,The Swaffhams,East Cambridgeshire,807,223,31,43,195,43,47,41,23,1453
E05002735,Bassenhally,Fenland,665,85,32,29,243,26,30,36,15,1161
E05002736,"Benwick, Coates and Eastrea",Fenland,1902,424,78,115,456,99,147,93,43,3357
E05002737,Birch,Fenland,995,179,36,58,286,55,82,74,29,1794
E05002738,Clarkson,Fenland,967,122,36,108,197,54,76,88,43,1691
E05002739,Delph,Fenland,871,117,42,55,184,51,60,50,15,1445
E05002740,Doddington,Fenland,917,206,33,40,261,48,61,67,12,1645
E05002741,Elm and Christchurch,Fenland,1747,387,66,156,651,104,155,178,51,3495
E05002742,Hill,Fenland,2189,227,86,180,564,98,154,200,87,3785
E05002743,Kingsmoor,Fenland,670,88,21,65,175,45,49,54,30,1197
E05002744,Kirkgate,Fenland,886,139,56,68,252,53,75,89,63,1681
E05002745,Lattersey,Fenland,935,130,45,72,316,47,77,71,30,1723
E05002746,Manea,Fenland,828,201,21,51,218,44,89,47,23,1522
E05002747,March East,Fenland,2793,431,96,226,1032,137,218,267,90,5290
E05002748,March North,Fenland,3143,433,147,232,922,208,224,224,238,5771
E05002749,March West,Fenland,2479,496,111,185,1083,135,191,214,60,4954
E05002750,Medworth,Fenland,1052,150,49,125,270,57,54,106,51,1914
E05002751,Parson Drove and Wisbech St Mary,Fenland,1698,428,58,150,666,121,184,205,63,3573
E05002752,Peckover,Fenland,888,197,54,85,259,51,86,89,36,1745
E05002753,Roman Bank,Fenland,2210,534,65,173,1068,138,186,230,65,4669
E05002756,Slade Lode,Fenland,1161,129,46,75,232,59,95,83,25,1905
E05002754,St Andrews,Fenland,1059,184,53,42,378,46,55,37,22,1876
E05002755,St Marys,Fenland,998,208,34,84,335,50,51,60,30,1850
E05002757,Staithe,Fenland,939,131,41,112,243,81,89,113,40,1789
E05002758,The Mills,Fenland,1172,187,42,76,297,69,66,38,30,1977
E05002759,Waterlees,Fenland,2049,184,70,247,582,149,249,259,126,3915
E05002760,Wenneye,Fenland,1011,206,38,67,346,68,92,68,23,1919
E05002761,Wimblington,Fenland,781,205,29,55,353,53,59,60,20,1615
E05008525,Alconbury and The Stukeleys,Huntingdonshire,1595,271,61,47,495,82,99,62,76,2788
E05002763,Brampton,Huntingdonshire,2957,429,132,155,780,200,168,104,675,5600
E05008526,Buckden,Huntingdonshire,1267,291,61,57,442,87,82,36,25,2348
E05008527,Earith,Huntingdonshire,2700,526,139,92,724,139,145,66,43,4574
E05008576,Ellington,Huntingdonshire,1238,344,56,47,370,102,107,38,35,2337
E05002767,Elton and Folksworth,Huntingdonshire,1020,315,56,58,361,60,81,34,36,2021
E05008577,Fenstanton,Huntingdonshire,1542,244,79,45,309,64,82,38,26,2429
E05002769,Godmanchester,Huntingdonshire,3058,459,119,172,636,154,156,120,55,4929
E05008528,Gransden and The Offords,Huntingdonshire,1889,449,66,74,548,99,131,54,28,3338
E05002771,Huntingdon East,Huntingdonshire,4199,462,201,248,1039,202,274,300,100,7025
E05002772,Huntingdon North,Huntingdonshire,2922,215,138,314,364,195,287,212,120,4767
E05008529,Huntingdon West,Huntingdonshire,3817,355,166,190,348,185,228,122,88,5499
E05008578,Kimbolton and Staughton,Huntingdonshire,1293,328,53,56,385,135,102,42,20,2414
E05008579,Little Paxton,Huntingdonshire,1447,224,62,58,432,65,96,27,25,2436
E05008531,Ramsey,Huntingdonshire,3546,645,166,231,938,191,257,209,102,6285
E05002784,Sawtry,Huntingdonshire,2853,517,123,132,721,161,149,101,54,4811
E05008583,Somersham,Huntingdonshire,2587,596,118,98,608,128,146,92,53,4426
E05002777,St Ives East,Huntingdonshire,3550,423,151,178,520,141,197,114,63,5337
E05008580,St Ives South,Huntingdonshire,2728,455,117,160,744,164,178,92,79,4717
E05002779,St Ives West,Huntingdonshire,1247,171,58,67,384,76,58,55,25,2141
E05008581,St Neots Eaton Ford,Huntingdonshire,3089,479,142,124,847,123,158,84,51,5097
E05002781,St Neots Eaton Socon,Huntingdonshire,2509,341,104,163,654,111,167,140,42,4231
E05008533,St Neots Eynesbury,Huntingdonshire,4868,580,246,326,974,264,314,239,123,7934
E05008582,St Neots Priory Park,Huntingdonshire,3497,504,167,236,714,195,269,179,90,5851
E05002786,Stilton,Huntingdonshire,1370,242,80,50,327,92,66,45,20,2292
E05008535,The Hemingfords,Huntingdonshire,2281,569,99,86,965,134,154,59,57,4404
E05008584,Upwood and The Raveleys,Huntingdonshire,1564,268,59,74,252,77,99,65,43,2501
E05008537,Warboys and Bury,Huntingdonshire,2748,479,112,126,714,150,190,117,58,4694
E05002790,Yaxley and Farcet,Huntingdonshire,4914,731,186,293,1082,226,306,266,116,8120
E05002791,Balsham,South Cambridgeshire,1765,550,90,73,581,110,146,60,53,3428
E05002792,Bar Hill,South Cambridgeshire,2447,412,126,86,468,128,97,60,37,3861
E05002793,Barton,South Cambridgeshire,951,232,47,29,274,78,74,27,27,1739
E05002794,Bassingbourn,South Cambridgeshire,2146,461,91,96,425,126,156,162,72,3735
E05002795,Bourn,South Cambridgeshire,4680,693,218,187,445,220,387,134,79,7043
E05002796,Caldecote,South Cambridgeshire,1026,235,57,33,241,76,61,24,19,1772
E05002797,Comberton,South Cambridgeshire,937,181,45,35,291,76,46,23,13,1647
E05002798,Cottenham,South Cambridgeshire,3458,714,151,109,765,202,210,91,54,5754
E05002799,Duxford,South Cambridgeshire,1139,263,43,57,319,64,78,35,15,2013
E05002800,Fowlmere and Foxton,South Cambridgeshire,982,250,41,35,268,51,72,27,14,1740
E05002801,Fulbourn,South Cambridgeshire,1942,352,108,66,508,150,119,79,41,3365
E05002802,Gamlingay,South Cambridgeshire,2050,506,98,102,527,125,122,70,34,3634
E05002803,Girton,South Cambridgeshire,1704,316,101,71,380,606,108,39,34,3359
E05002804,Hardwick,South Cambridgeshire,1313,221,71,34,175,78,61,36,19,2008
E05002805,Harston and Hauxton,South Cambridgeshire,952,232,46,27,319,60,66,29,17,1748
E05002806,Haslingfield and The Eversdens,South Cambridgeshire,996,262,54,34,348,73,67,26,29,1889
E05002807,Histon and Impington,South Cambridgeshire,4712,742,234,200,788,394,255,155,106,7586
E05002808,Linton,South Cambridgeshire,2011,385,99,96,508,126,125,52,43,3445
E05002809,Longstanton,South Cambridgeshire,1285,204,45,43,243,39,57,38,12,1966
E05002810,Melbourn,South Cambridgeshire,2288,510,104,106,627,119,148,69,41,4012
E05002811,Meldreth,South Cambridgeshire,991,243,58,38,293,78,64,74,24,1863
E05002812,Milton,South Cambridgeshire,2204,371,96,94,330,124,140,68,80,3507
E05002813,Orwell and Barrington,South Cambridgeshire,889,247,39,38,320,57,56,20,19,1685
E05002814,Papworth and Elsworth,South Cambridgeshire,2211,378,84,84,382,118,128,117,46,3548
E05002815,Sawston,South Cambridgeshire,3223,511,151,130,740,140,138,169,74,5276
E05002816,Swavesey,South Cambridgeshire,1165,213,52,31,217,50,52,30,15,1825
E05002817,Teversham,South Cambridgeshire,1497,161,65,71,171,90,80,51,30,2216
E05002818,The Abingtons,South Cambridgeshire,959,227,47,35,241,68,44,27,22,1670
E05002819,The Mordens,South Cambridgeshire,944,272,36,41,311,53,69,26,23,1775
E05002820,The Shelfords and Stapleford,South Cambridgeshire,2834,625,112,121,845,214,198,74,72,5095
E05002821,The Wilbrahams,South Cambridgeshire,1164,296,64,44,281,59,68,39,28,2043
E05002822,Waterbeach,South Cambridgeshire,2974,409,87,104,503,117,163,77,84,4518
E05002823,Whittlesford,South Cambridgeshire,1173,255,55,39,271,73,58,30,24,1978
E05002824,Willingham and Over,South Cambridgeshire,3084,583,157,110,640,153,162,95,52,5036
,,,,,,,,,,,,
