Ward Code,Ward,Local Authority,Travel to work (All Usual Residents Aged 16 to 74),Travel to work (Work Mainly at or From Home),"Travel to work (Underground, Metro, Light Rail, Tram)",Travel to work (Train),"Travel to work (Bus, Minibus or Coach)",Travel to work (Taxi),"Travel to work (Motorcycle, Scooter or Moped)",Travel to work (Driving a Car or Van),Travel to work (Passenger in a Car or Van),Travel to work (Bicycle),Travel to work (On Foot),Travel to work (Other Method of Travel to Work),Travel to work (Not in Employment)
E05002702,Abbey,Cambridge,7490,193,8,158,463,30,71,2049,234,1454,555,26,2249
E05002703,Arbury,Cambridge,6895,257,7,113,294,22,62,1497,139,1496,614,27,2367
E05002704,Castle,Cambridge,8749,293,15,129,121,10,14,712,50,949,510,14,5932
E05002705,Cherry Hinton,Cambridge,6438,203,6,143,546,22,54,1992,217,1021,350,24,1860
E05002706,Coleridge,Cambridge,7247,234,6,279,341,23,36,1611,163,1434,738,25,2357
E05002707,East Chesterton,Cambridge,7088,268,4,123,291,26,54,1830,155,1633,557,28,2119
E05002708,King's Hedges,Cambridge,6928,160,4,82,444,16,63,1923,171,1430,510,19,2106
E05002709,Market,Cambridge,6488,239,13,142,113,5,7,382,25,594,656,20,4292
E05002710,Newnham,Cambridge,6686,271,11,155,61,5,8,430,24,768,412,18,4523
E05002711,Petersfield,Cambridge,7029,366,11,436,213,11,14,843,58,1367,1189,24,2497
E05002712,Queen Edith's,Cambridge,6801,347,20,270,227,10,39,1335,125,1042,922,28,2436
E05002713,Romsey,Cambridge,7631,281,13,396,281,16,33,1505,146,1824,1069,25,2042
E05002714,Trumpington,Cambridge,6025,312,9,274,255,7,22,1299,83,1070,578,29,2087
E05002715,West Chesterton,Cambridge,6788,432,9,212,212,12,27,1402,79,1673,729,22,1979
E05002716,Bottisham,East Cambridgeshire,2802,192,0,39,75,3,17,1317,66,102,152,11,828
E05002717,Burwell,East Cambridgeshire,4434,247,2,52,75,5,23,2437,136,76,190,15,1176
E05002718,Cheveley,East Cambridgeshire,3012,196,2,32,24,2,17,1546,94,59,166,15,859
E05002719,Downham Villages,East Cambridgeshire,3275,213,2,106,26,4,13,1693,107,41,114,19,937
E05002720,Dullingham Villages,East Cambridgeshire,1653,144,4,39,12,2,12,836,43,28,85,6,442
E05002721,Ely East,East Cambridgeshire,2978,187,6,353,40,4,12,1049,90,40,299,16,882
E05002722,Ely North,East Cambridgeshire,5151,203,2,456,42,24,25,2289,179,169,341,12,1409
E05002723,Ely South,East Cambridgeshire,3187,158,7,316,19,11,14,1497,94,90,198,6,777
E05002724,Ely West,East Cambridgeshire,3201,135,3,299,21,4,8,1189,98,103,298,12,1031
E05002725,Fordham Villages,East Cambridgeshire,2765,179,4,29,20,3,14,1501,84,64,100,13,754
E05002726,Haddenham,East Cambridgeshire,4301,256,3,100,52,8,30,2305,143,59,166,15,1164
E05002727,Isleham,East Cambridgeshire,1713,79,2,20,16,4,4,981,60,18,39,6,484
E05002728,Littleport East,East Cambridgeshire,3798,140,1,193,35,12,19,1826,161,41,165,19,1186
E05002729,Littleport West,East Cambridgeshire,2460,86,1,108,32,5,16,1196,136,38,124,16,702
E05002730,Soham North,East Cambridgeshire,3812,134,3,55,33,7,21,2315,159,104,122,14,845
E05002731,Soham South,East Cambridgeshire,4841,199,4,50,70,3,27,2628,233,147,188,17,1275
E05002732,Stretham,East Cambridgeshire,2943,195,8,62,50,1,26,1528,123,25,90,10,825
E05002733,Sutton,East Cambridgeshire,2935,121,1,56,47,1,12,1647,93,23,102,7,825
E05002734,The Swaffhams,East Cambridgeshire,1453,103,0,14,31,1,4,738,47,28,86,7,394
E05002735,Bassenhally,Fenland,1161,24,0,9,17,3,3,592,54,31,33,7,388
E05002736,"Benwick, Coates and Eastrea",Fenland,3357,169,5,44,49,1,28,1839,103,33,97,17,972
E05002737,Birch,Fenland,1794,74,0,21,25,3,7,904,47,34,77,6,596
E05002738,Clarkson,Fenland,1691,35,1,3,37,4,13,561,137,60,255,11,574
E05002739,Delph,Fenland,1445,43,0,20,35,1,8,762,58,36,54,3,425
E05002740,Doddington,Fenland,1645,93,0,19,17,1,12,854,58,16,77,4,494
E05002741,Elm and Christchurch,Fenland,3495,162,0,23,22,5,17,1676,113,52,102,12,1311
E05002742,Hill,Fenland,3785,58,2,9,51,8,15,1486,241,155,440,11,1309
E05002743,Kingsmoor,Fenland,1197,24,0,7,39,3,8,527,66,38,62,0,423
E05002744,Kirkgate,Fenland,1681,32,1,1,26,5,10,668,94,67,161,7,609
E05002745,Lattersey,Fenland,1723,30,1,15,51,1,11,788,71,49,77,3,626
E05002746,Manea,Fenland,1522,67,3,25,11,3,6,807,40,18,58,6,478
E05002747,March East,Fenland,5290,120,5,79,70,34,20,2136,251,285,275,19,1996
E05002748,March North,Fenland,5771,160,4,112,46,17,22,2215,210,324,514,59,2088
E05002749,March West,Fenland,4954,150,4,69,37,12,15,2127,179,224,221,17,1899
E05002750,Medworth,Fenland,1914,47,1,9,33,8,9,573,123,57,371,10,673
E05002751,Parson Drove and Wisbech St Mary,Fenland,3573,172,3,26,36,6,13,1669,85,24,120,9,1410
E05002752,Peckover,Fenland,1745,89,5,12,35,4,3,646,92,55,174,9,621
E05002753,Roman Bank,Fenland,4669,193,4,29,33,15,24,2126,153,60,139,16,1877
E05002756,Slade Lode,Fenland,1905,50,1,23,32,7,7,961,93,22,114,14,581
E05002754,St Andrews,Fenland,1876,43,1,13,45,0,11,943,89,70,68,4,589
E05002755,St Marys,Fenland,1850,64,1,22,47,0,12,839,61,43,142,2,617
E05002757,Staithe,Fenland,1789,37,0,2,21,8,8,703,96,79,147,3,685
E05002758,The Mills,Fenland,1977,51,0,13,23,4,9,1073,75,49,95,2,583
E05002759,Waterlees,Fenland,3915,54,1,8,54,18,12,1333,273,143,359,26,1634
E05002760,Wenneye,Fenland,1919,85,0,24,19,2,12,910,73,26,84,3,681
E05002761,Wimblington,Fenland,1615,76,1,18,10,3,4,756,65,15,58,4,605
E05008525,Alconbury and The Stukeleys,Huntingdonshire,2788,157,3,66,25,7,16,1411,106,32,92,7,866
E05002763,Brampton,Huntingdonshire,5600,223,15,137,61,6,22,2229,121,164,484,30,2108
E05008526,Buckden,Huntingdonshire,2348,146,5,77,21,3,5,1167,67,24,88,11,734
E05008527,Earith,Huntingdonshire,4574,270,4,69,64,3,20,2543,155,66,136,17,1227
E05008576,Ellington,Huntingdonshire,2337,207,3,100,9,0,11,1118,58,10,107,8,706
E05002767,Elton and Folksworth,Huntingdonshire,2021,169,4,49,24,1,1,990,59,17,68,8,631
E05008577,Fenstanton,Huntingdonshire,2429,109,2,37,108,0,13,1324,94,60,95,10,577
E05002769,Godmanchester,Huntingdonshire,4929,214,6,203,65,14,30,2383,192,207,290,10,1315
E05008528,Gransden and The Offords,Huntingdonshire,3338,240,1,135,23,4,19,1730,94,30,110,9,943
E05002771,Huntingdon East,Huntingdonshire,7025,191,5,210,125,26,42,2940,271,293,690,26,2206
E05002772,Huntingdon North,Huntingdonshire,4767,52,1,71,130,30,27,1675,260,203,777,15,1526
E05008529,Huntingdon West,Huntingdonshire,5499,153,5,318,84,21,15,2467,189,236,811,17,1183
E05008578,Kimbolton and Staughton,Huntingdonshire,2414,162,5,89,17,0,8,1179,47,21,134,7,745
E05008579,Little Paxton,Huntingdonshire,2436,91,3,79,27,0,15,1295,87,58,65,8,708
E05008531,Ramsey,Huntingdonshire,6285,255,4,58,80,7,26,3195,247,71,366,16,1960
E05002784,Sawtry,Huntingdonshire,4811,251,5,66,72,2,30,2562,152,38,276,14,1343
E05008583,Somersham,Huntingdonshire,4426,300,1,75,50,6,11,2439,141,51,186,25,1141
E05002777,St Ives East,Huntingdonshire,5337,143,5,66,195,19,40,2756,239,270,358,15,1231
E05008580,St Ives South,Huntingdonshire,4717,173,2,74,156,21,17,2081,148,181,406,24,1434
E05002779,St Ives West,Huntingdonshire,2141,79,0,25,69,4,10,1024,95,56,99,6,674
E05008581,St Neots Eaton Ford,Huntingdonshire,5097,220,3,156,76,8,14,2561,175,136,335,10,1403
E05002781,St Neots Eaton Socon,Huntingdonshire,4231,135,1,99,54,12,17,2001,174,154,281,16,1287
E05008533,St Neots Eynesbury,Huntingdonshire,7934,205,9,291,133,29,34,3552,340,291,732,34,2284
E05008582,St Neots Priory Park,Huntingdonshire,5851,215,7,389,129,12,16,2514,214,151,467,21,1716
E05002786,Stilton,Huntingdonshire,2292,107,2,35,38,1,4,1270,81,24,103,8,619
E05008535,The Hemingfords,Huntingdonshire,4404,310,8,125,58,6,16,2059,113,126,103,10,1470
E05008584,Upwood and The Raveleys,Huntingdonshire,2501,140,1,49,32,1,23,1349,94,59,127,5,621
E05008537,Warboys and Bury,Huntingdonshire,4694,252,3,82,63,5,24,2492,178,44,156,18,1377
E05002790,Yaxley and Farcet,Huntingdonshire,8120,274,6,85,236,17,53,4312,307,154,333,23,2320
E05002791,Balsham,South Cambridgeshire,3428,253,4,77,47,5,16,1722,103,37,119,15,1030
E05002792,Bar Hill,South Cambridgeshire,3861,178,2,46,288,6,20,1923,127,89,268,13,901
E05002793,Barton,South Cambridgeshire,1739,134,6,42,48,5,10,628,35,242,67,11,511
E05002794,Bassingbourn,South Cambridgeshire,3735,202,5,145,25,8,24,1733,124,135,278,8,1048
E05002795,Bourn,South Cambridgeshire,7043,364,9,213,280,7,41,3974,214,122,293,33,1493
E05002796,Caldecote,South Cambridgeshire,1772,131,3,43,57,2,12,907,50,40,58,8,461
E05002797,Comberton,South Cambridgeshire,1647,86,2,36,54,1,10,747,48,112,55,6,490
E05002798,Cottenham,South Cambridgeshire,5754,331,5,68,213,5,70,2891,163,293,253,20,1442
E05002799,Duxford,South Cambridgeshire,2013,131,6,105,28,1,9,979,53,47,74,5,575
E05002800,Fowlmere and Foxton,South Cambridgeshire,1740,139,1,91,17,0,11,840,44,46,71,5,475
E05002801,Fulbourn,South Cambridgeshire,3365,141,9,53,191,4,32,1329,129,328,154,12,983
E05002802,Gamlingay,South Cambridgeshire,3634,242,5,118,30,2,23,1889,89,71,159,14,992
E05002803,Girton,South Cambridgeshire,3359,206,12,79,116,2,20,1060,50,438,112,18,1246
E05002804,Hardwick,South Cambridgeshire,2008,99,2,25,102,5,26,1162,73,58,44,3,409
E05002805,Harston and Hauxton,South Cambridgeshire,1748,96,3,59,44,1,9,808,38,100,52,12,526
E05002806,Haslingfield and The Eversdens,South Cambridgeshire,1889,133,2,51,25,1,11,886,57,85,45,6,587
E05002807,Histon and Impington,South Cambridgeshire,7586,344,4,113,353,13,71,3091,237,1026,371,19,1944
E05002808,Linton,South Cambridgeshire,3445,207,5,53,135,3,17,1716,93,59,177,12,968
E05002809,Longstanton,South Cambridgeshire,1966,104,0,30,55,1,19,1147,60,68,34,10,438
E05002810,Melbourn,South Cambridgeshire,4012,262,7,207,51,7,21,1891,113,87,220,17,1129
E05002811,Meldreth,South Cambridgeshire,1863,121,1,121,16,0,16,765,56,57,117,14,579
E05002812,Milton,South Cambridgeshire,3507,149,2,68,209,9,20,1419,99,443,227,13,849
E05002813,Orwell and Barrington,South Cambridgeshire,1685,112,1,66,24,2,9,828,35,32,56,6,514
E05002814,Papworth and Elsworth,South Cambridgeshire,3548,212,3,73,51,5,19,1782,95,54,353,18,883
E05002815,Sawston,South Cambridgeshire,5276,194,3,67,238,4,54,2478,168,327,307,17,1419
E05002816,Swavesey,South Cambridgeshire,1825,105,1,21,42,1,9,1035,64,66,78,4,399
E05002817,Teversham,South Cambridgeshire,2216,56,3,38,185,6,12,945,87,292,77,7,508
E05002818,The Abingtons,South Cambridgeshire,1670,114,1,47,46,1,14,802,42,59,88,8,448
E05002819,The Mordens,South Cambridgeshire,1775,141,3,106,6,3,8,865,36,18,56,6,527
E05002820,The Shelfords and Stapleford,South Cambridgeshire,5095,341,8,196,166,4,44,1979,106,546,145,17,1543
E05002821,The Wilbrahams,South Cambridgeshire,2043,165,3,49,38,3,16,917,72,170,76,6,528
E05002822,Waterbeach,South Cambridgeshire,4518,253,2,228,106,6,35,1753,122,422,517,16,1058
E05002823,Whittlesford,South Cambridgeshire,1978,136,4,107,22,3,12,980,48,83,70,9,504
E05002824,Willingham and Over,South Cambridgeshire,5036,290,2,53,146,6,47,2727,184,159,176,13,1233
,,,,,,,,,,,,,,,
